Identifier,Rated,Votes,Bayesian_Score,Wilson_Score,BTL_Score,DM_Score,My_WRS
Black Friday,4.2,21686,4.198075795914613,4.175302231636827,4.516129032258064,4.199077958600341,3.0371125509666568
The Pinchcliffe Grand Prix,4.2,14005,4.197024226254002,4.1691756289617246,4.516129032258064,4.198572448251249,2.9041151634845495
The Lizard,4.2,21823,4.198087848031821,4.175380818662248,4.516129032258064,4.199083745647792,3.0390280806144765
Vada Chennai,4.2,18773,4.197778010944058,4.173430987732859,4.516129032258064,4.198934923847055,2.993237072487504
"When I Grow Up, I'll Be a Kangaroo",4.2,11231,4.19629248293591,4.165518209530834,4.516129032258064,4.198220007119972,2.8369760519501828
Mahanati,4.2,13790,4.196977998554914,4.168932629814533,4.516129032258064,4.19855019934759,2.8994095621089695
Thani Oruvan,4.2,21067,4.198019391959085,4.174937573192433,4.516129032258064,4.19905087319666,3.0283040901782634
Visaaranai,4.2,11624,4.196417294843242,4.166115833671872,4.516129032258064,4.198280161664804,2.8474372654299946
Attack on Titan: Chronicle,4.2,11323,4.196322474281192,4.165660926973321,4.516129032258064,4.198234463276836,2.8394574365943286
Filantropica,4.2,13592,4.196934137223281,4.168703712446905,4.516129032258064,4.198529087298669,2.8950106851634794
Muhsin Bey,4.2,11381,4.196341133759077,4.1657500005599895,4.516129032258064,4.198243456876867,2.8410114481545006
Gentlemen of Fortune,4.2,12409,4.196643029135564,4.167222523839199,4.516129032258064,4.198388915740294,2.8673140424601167
Aruvi,4.2,13628,4.196942206462933,4.168745708292505,4.516129032258064,4.198532971466295,2.895815227059855
King of the Doormen,4.2,13223,4.196848903789648,4.168263314057231,4.516129032258064,4.198488055639553,2.8866390647928193
Inglourious Basterds,4.15,1528285,4.1499742697118105,4.147018108977171,4.462365591397849,4.149987077059983,4.279906602423793
Top Gun: Maverick,4.15,632838,4.149937864993491,4.1453625202924895,4.462365591397849,4.149968791627623,4.01490485650885
Fukrey 3,4.15,19540,4.147992623787647,4.123341626801107,4.462365591397849,4.148989511383986,2.969638386718127
Heat,4.15,694450,4.14994337724982,4.145573451218731,4.462365591397849,4.149971560432282,4.042828781091038
Requiem for a Dream,4.15,876298,4.149955126844588,4.146060314377386,4.462365591397849,4.149977462133531,4.112735329082154
American Beauty,4.15,1187390,4.149966882958297,4.146616404383156,4.462365591397849,4.149983366950341,4.204048126680708
Good Will Hunting,4.15,1024723,4.14996162613574,4.146357292852914,4.462365591397849,4.149980726592813,4.15976470850376
2001: A Space Odyssey,4.15,699561,4.149943790906661,4.1455896843290265,4.462365591397849,4.149971768210577,4.045032751452785
Scarface,4.15,886450,4.149955640721941,4.1460829800902985,4.462365591397849,4.149977720245247,4.116197355951986
Eternal Sunshine of the Spotless Mind,4.15,1048011,4.1499624788061,4.146398061082755,4.462365591397849,4.149981154867865,4.166518866631446
Full Metal Jacket,4.15,771283,4.14994901748013,4.145800156403962,4.462365591397849,4.149974393482072,4.074368319871852
A Clockwork Orange,4.15,861107,4.149954335272198,4.146025651773606,4.462365591397849,4.149977064539804,4.107479265489528
Braveheart,4.15,1069701,4.149963239576313,4.146434826779552,4.462365591397849,4.149981536983059,4.172675909508616
The Hunt,4.15,350614,4.149887857036936,4.143765013909876,4.462365591397849,4.149943671050343,3.8374145155679646
Hamilton,4.15,106411,4.14963062060285,4.138655617353747,4.462365591397849,4.149814407607879,3.479032722032147
Once Upon a Time in America,4.15,367362,4.149892968928615,4.143909204961585,4.462365591397849,4.149946239047057,3.851439272779592
Reservoir Dogs,4.15,1060958,4.149962936660232,4.146420142765441,4.462365591397849,4.149981384836229,4.1702092267043795
Toy Story,4.15,1039106,4.149962157269939,4.14638263398201,4.462365591397849,4.14998099336837,4.163954063151109
Up,4.15,1092218,4.1499639973889195,4.146471828429641,4.462365591397849,4.149981917612063,4.178937016988902
Star Wars: Episode VI - Return of the Jedi,4.15,1094964,4.149964087673766,4.146476262529462,4.462365591397849,4.149981962959682,4.179691727133539
Incendies,4.15,189661,4.149792713653926,4.141513799881486,4.462365591397849,4.149895869581264,3.6527353440836006
Amélie,4.15,779097,4.14994952877955,4.145821311855464,4.462365591397849,4.1499746503025285,4.077398044195161
Princess Mononoke,4.15,416606,4.1499056187838415,4.144281483234392,4.462365591397849,4.149952593666514,3.8892478889079536
Vertigo,4.15,417160,4.149905744109681,4.144285291761348,4.462365591397849,4.14995265662268,3.8896473084897294
Judgment at Nuremberg,4.15,82045,4.149520987879896,4.137071027086552,4.462365591397849,4.149759293113956,3.400874972201108
Toy Story 3,4.15,870867,4.149954847017569,4.146048026334909,4.462365591397849,4.149977321581129,4.11086674979627
